"Step","benford - valid_arithmetic_perfect","benford - valid_arithmetic_perfect__MIN","benford - valid_arithmetic_perfect__MAX"
"734","77.37","77.37","77.37"
"735","77.03","77.03","77.03"
"736","77.95","77.95","77.95"
"737","77.26","77.26","77.26"
"738","76.62","76.62","76.62"
"739","77.97","77.97","77.97"
"740","76.69","76.69","76.69"
"741","77.81","77.81","77.81"
"742","77.47","77.47","77.47"
"743","76.59","76.59","76.59"
"744","76.92","76.92","76.92"
"745","77.34","77.34","77.34"
"746","77.41","77.41","77.41"
"747","77.21","77.21","77.21"
"748","77.1","77.1","77.1"
"749","77.03","77.03","77.03"
"750","77.26","77.26","77.26"
"751","77.47","77.47","77.47"
"752","77.28","77.28","77.28"
"753","77.45","77.45","77.45"
"754","77.28","77.28","77.28"
"755","77.12","77.12","77.12"
"756","77.86","77.86","77.86"
"757","78.12","78.12","78.12"
"758","77.07","77.07","77.07"
"759","76.39","76.39","76.39"
"760","76.76","76.76","76.76"
"761","77.43","77.43","77.43"
"762","78.12","78.12","78.12"
"763","77.63","77.63","77.63"
"764","77.53","77.53","77.53"
"765","77.91","77.91","77.91"
"766","77.36","77.36","77.36"
"767","77.91","77.91","77.91"
"768","77.41","77.41","77.41"
"769","77.49","77.49","77.49"
"770","77.62","77.62","77.62"
"771","76.96","76.96","76.96"
"772","77.79","77.79","77.79"
"773","76.93","76.93","76.93"
"774","77.49","77.49","77.49"
"775","77.74","77.74","77.74"
"776","77.36","77.36","77.36"
"777","77.39","77.39","77.39"
"778","77.01","77.01","77.01"
"779","77.43","77.43","77.43"
"780","77.34","77.34","77.34"
"781","77.58","77.58","77.58"
"782","77.91","77.91","77.91"
"783","77.69","77.69","77.69"
"784","77.1","77.1","77.1"
"785","77.84","77.84","77.84"
"786","77.71","77.71","77.71"
"787","77.79","77.79","77.79"
"788","77.13","77.13","77.13"
"789","77.94","77.94","77.94"
"790","77.51","77.51","77.51"
"791","78.66","78.66","78.66"
"792","78.34","78.34","78.34"
"793","78.1","78.1","78.1"
"794","77.71","77.71","77.71"
"795","77.8","77.8","77.8"
"796","78.77","78.77","78.77"
"797","78.44","78.44","78.44"
"798","77.62","77.62","77.62"
"799","78.01","78.01","78.01"
"800","77.64","77.64","77.64"
"801","77.68","77.68","77.68"
"802","77.43","77.43","77.43"
"803","78.11","78.11","78.11"
"804","77.15","77.15","77.15"
"805","77.37","77.37","77.37"
"806","77.54","77.54","77.54"
"807","77.9","77.9","77.9"
"808","78.41","78.41","78.41"
"809","77.99","77.99","77.99"
"810","78.17","78.17","78.17"
"811","77.45","77.45","77.45"
"812","77.56","77.56","77.56"
"813","77.47","77.47","77.47"
"814","78.72","78.72","78.72"
"815","77.92","77.92","77.92"
"816","77.83","77.83","77.83"
"817","79.05","79.05","79.05"
"818","77.71","77.71","77.71"
"819","77.12","77.12","77.12"
"820","77.29","77.29","77.29"
"821","78.35","78.35","78.35"
"822","78.4","78.4","78.4"
"823","78.33","78.33","78.33"
"824","78.5","78.5","78.5"
"825","78.14","78.14","78.14"
"826","78.13","78.13","78.13"
"827","77.52","77.52","77.52"
"828","78.48","78.48","78.48"
"829","78.69","78.69","78.69"
"830","77.24","77.24","77.24"
"831","77.99","77.99","77.99"
"832","78.65","78.65","78.65"
"833","77.36","77.36","77.36"
"834","77.42","77.42","77.42"
"835","77.93","77.93","77.93"
"836","77.73","77.73","77.73"
"837","77.7","77.7","77.7"
"838","77.8","77.8","77.8"
"839","77.92","77.92","77.92"
"840","78.37","78.37","78.37"
"841","77.48","77.48","77.48"
"842","78.15","78.15","78.15"
"843","77.65","77.65","77.65"
