"Step","benford - test_arithmetic_perfect","benford - test_arithmetic_perfect__MIN","benford - test_arithmetic_perfect__MAX"
"816","66.32","66.32","66.32"
"817","66.36","66.36","66.36"
"818","67.04","67.04","67.04"
"819","66.33","66.33","66.33"
"820","67.31","67.31","67.31"
"821","67.53","67.53","67.53"
"822","67.02","67.02","67.02"
"823","66.74","66.74","66.74"
"824","66.76","66.76","66.76"
"825","67.52","67.52","67.52"
"826","67.33","67.33","67.33"
"827","66.15","66.15","66.15"
"828","66.52","66.52","66.52"
"829","67.58","67.58","67.58"
"830","65","65","65"
"831","66.61","66.61","66.61"
"832","66.81","66.81","66.81"
"833","65.86","65.86","65.86"
"834","66.47","66.47","66.47"
"835","66.84","66.84","66.84"
"836","66.96","66.96","66.96"
"837","66.22","66.22","66.22"
"838","66.94","66.94","66.94"
"839","67.23","67.23","67.23"
"840","66.44","66.44","66.44"
"841","67.63","67.63","67.63"
"842","65.57","65.57","65.57"
"843","67.04","67.04","67.04"
"844","65.56","65.56","65.56"
"845","66.94","66.94","66.94"
"846","67.17","67.17","67.17"
"847","67.72","67.72","67.72"
"848","66.14","66.14","66.14"
"849","66.48","66.48","66.48"
"850","67.53","67.53","67.53"
"851","67.62","67.62","67.62"
"852","66.41","66.41","66.41"
"853","68.07","68.07","68.07"
"854","67.51","67.51","67.51"
"855","66.87","66.87","66.87"
