"Step","base1013 - valid_arithmetic_perfect","base1013 - valid_arithmetic_perfect__MIN","base1013 - valid_arithmetic_perfect__MAX"
"1015","56.38","56.38","56.38"
"1016","56.3","56.3","56.3"
"1017","56.49","56.49","56.49"
"1018","56.72","56.72","56.72"
"1019","57.13","57.13","57.13"
"1020","56.09","56.09","56.09"
"1021","57.06","57.06","57.06"
"1022","56.85","56.85","56.85"
"1023","56.1","56.1","56.1"
"1024","57.23","57.23","57.23"
"1025","56.94","56.94","56.94"
"1026","56.33","56.33","56.33"
"1027","56.86","56.86","56.86"
"1028","56.57","56.57","56.57"
"1029","56.34","56.34","56.34"
"1030","56.81","56.81","56.81"
"1031","56.4","56.4","56.4"
"1032","56.31","56.31","56.31"
"1033","57.14","57.14","57.14"
"1034","57.17","57.17","57.17"
"1035","57.73","57.73","57.73"
"1036","57.46","57.46","57.46"
"1037","57.83","57.83","57.83"
"1038","56.93","56.93","56.93"
"1039","57.96","57.96","57.96"
"1040","57.56","57.56","57.56"
"1041","57.37","57.37","57.37"
"1042","56.53","56.53","56.53"
"1043","57.16","57.16","57.16"
"1044","56.92","56.92","56.92"
"1045","57.02","57.02","57.02"
"1046","57.94","57.94","57.94"
"1047","57.52","57.52","57.52"
"1048","56.63","56.63","56.63"
"1049","57.84","57.84","57.84"
"1050","57.11","57.11","57.11"
"1051","56.78","56.78","56.78"
"1052","58.35","58.35","58.35"
"1053","57.71","57.71","57.71"
"1054","56.99","56.99","56.99"
"1055","57.26","57.26","57.26"
"1056","57.69","57.69","57.69"
"1057","56.55","56.55","56.55"
"1058","57.75","57.75","57.75"
"1059","58.28","58.28","58.28"
"1060","57.64","57.64","57.64"
"1061","57.56","57.56","57.56"
"1062","56.76","56.76","56.76"
"1063","57.31","57.31","57.31"
"1064","58.25","58.25","58.25"
"1065","57.03","57.03","57.03"
"1066","57.51","57.51","57.51"
"1067","56.96","56.96","56.96"
"1068","57.94","57.94","57.94"
"1069","57.22","57.22","57.22"
"1070","57.93","57.93","57.93"
